date,CPI
7/24/2008,100
7/25/2008,100
7/26/2008,100
7/27/2008,100
7/28/2008,100
7/29/2008,100
7/30/2008,100
7/31/2008,100
8/1/2008,100.5251
8/2/2008,100.5251
8/3/2008,100.5251
8/4/2008,100.5251
8/5/2008,100.5251
8/6/2008,100.5251
8/7/2008,100.5251
8/8/2008,100.5251
8/9/2008,100.5251
8/10/2008,100.5251
8/11/2008,100.5251
8/12/2008,100.5251
8/13/2008,100.5251
8/14/2008,100.5251
8/15/2008,100.5251
8/16/2008,100.5251
8/17/2008,100.5251
8/18/2008,100.5251
8/19/2008,100.5251
8/20/2008,100.5251
8/21/2008,100.5251
8/22/2008,100.5251
8/23/2008,100.5251
8/24/2008,100.5251
8/25/2008,100.5251
8/26/2008,100.5251
8/27/2008,100.5251
8/28/2008,100.5251
8/29/2008,100.5251
8/30/2008,100.5251
8/31/2008,100.5251
9/1/2008,100.1238
9/2/2008,100.1238
9/3/2008,100.1238
9/4/2008,100.1238
9/5/2008,100.1238
9/6/2008,100.1238
9/7/2008,100.1238
9/8/2008,100.1238
9/9/2008,100.1238
9/10/2008,100.1238
9/11/2008,100.1238
9/12/2008,100.1238
9/13/2008,100.1238
9/14/2008,100.1238
9/15/2008,100.1238
9/16/2008,100.1238
9/17/2008,100.1238
9/18/2008,100.1238
9/19/2008,100.1238
9/20/2008,100.1238
9/21/2008,100.1238
9/22/2008,100.1238
9/23/2008,100.1238
9/24/2008,100.1238
9/25/2008,100.1238
9/26/2008,100.1238
9/27/2008,100.1238
9/28/2008,100.1238
9/29/2008,100.1238
9/30/2008,100.1238
10/1/2008,99.98538
10/2/2008,99.98538
10/3/2008,99.98538
10/4/2008,99.98538
10/5/2008,99.98538
10/6/2008,99.98538
10/7/2008,99.98538
10/8/2008,99.98538
10/9/2008,99.98538
10/10/2008,99.98538
10/11/2008,99.98538
10/12/2008,99.98538
10/13/2008,99.98538
10/14/2008,99.98538
10/15/2008,99.98538
10/16/2008,99.98538
10/17/2008,99.98538
10/18/2008,99.98538
10/19/2008,99.98538
10/20/2008,99.98538
10/21/2008,99.98538
10/22/2008,99.98538
10/23/2008,99.98538
10/24/2008,99.98538
10/25/2008,99.98538
10/26/2008,99.98538
10/27/2008,99.98538
10/28/2008,99.98538
10/29/2008,99.98538
10/30/2008,99.98538
10/31/2008,99.98538
11/1/2008,98.97539
11/2/2008,98.97539
11/3/2008,98.97539
11/4/2008,98.97539
11/5/2008,98.97539
11/6/2008,98.97539
11/7/2008,98.97539
11/8/2008,98.97539
11/9/2008,98.97539
11/10/2008,98.97539
11/11/2008,98.97539
11/12/2008,98.97539
11/13/2008,98.97539
11/14/2008,98.97539
11/15/2008,98.97539
11/16/2008,98.97539
11/17/2008,98.97539
11/18/2008,98.97539
11/19/2008,98.97539
11/20/2008,98.97539
11/21/2008,98.97539
11/22/2008,98.97539
11/23/2008,98.97539
11/24/2008,98.97539
11/25/2008,98.97539
11/26/2008,98.97539
11/27/2008,98.97539
11/28/2008,98.97539
11/29/2008,98.97539
11/30/2008,98.97539
12/1/2008,97.07973
12/2/2008,97.07973
12/3/2008,97.07973
12/4/2008,97.07973
12/5/2008,97.07973
