"","1","4","89","83","3","5","88","85","90","2","7","54","6","64","8"
"1",0,1,4,0,4,2,2,9,1,2,0,2,0,1,1
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89",1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"83",1,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"3",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",1,0,0,0,1,0,0,3,0,0,0,0,1,0,0
"85",1,0,0,0,0,0,2,0,0,0,0,0,5,0,0
"90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
